endpoint,cohort,cohort_definition,n,unique_structures,mae,median_absolute_error,rmse,r2,pearson_r,spearman_rho,mean_error_bias,calibration_slope,truth_sd,prediction_sd,sd_ratio
Clearance_Microsome_AZ,A_HEADLINE,"Frozen v0.10.2 headline cohort: semantically compatible rows with a valid exact experimental value, excluding exact structure overlap with the endpoint training source and with any reconstructed regression multitask source.",366,313,125.655,34.225,254.594,-0.156,0.428,0.446,-111.640,0.037,236.843,20.538,0.087
Clearance_Microsome_AZ,ALL_COMPATIBLE_DATA,Frozen v0.10.2 transparency cohort including rows with known training exposure. Reported for completeness and never used as an external-generalisation claim.,371,318,126.398,34.167,255.060,-0.155,0.432,0.441,-112.290,0.038,237.287,20.965,0.088
Clearance_Microsome_AZ,NO_PARENT_FORM_TRAINING_OVERLAP,Frozen v0.10.2 cohort additionally excluding parent and salt-form training overlap.,366,313,125.655,34.225,254.594,-0.156,0.428,0.446,-111.640,0.037,236.843,20.538,0.087
Clearance_Microsome_AZ,STRUCTURALLY_REMOTE_SUBSET,"Frozen v0.10.2 cohort additionally requiring no stereo relation, an unseen Murcko scaffold and maximum Morgan/Tanimoto similarity below 0.60.",364,311,126.176,34.299,255.283,-0.158,0.428,0.449,-112.423,0.037,237.255,20.588,0.087
Clearance_Microsome_AZ,C_STRUCTURE_AGGREGATED,Cohort A collapsed to one record per unique InChIKey. The experimental value is the median of repeated measurements; the prediction is deterministic per structure.,313,313,114.522,31.975,238.696,-0.112,0.479,0.502,-99.565,0.045,226.306,21.218,0.094
Clearance_Microsome_AZ,D_STEREO_UNAMBIGUOUS,"Cohort A restricted to source records whose structure is not an OR/AND enhanced-stereo CXSMILES entry, i.e. excluding racemates and unknown single enantiomers that cannot be represented as the single drawn stereoisomer carried through the modelling path.",217,217,121.300,28.972,253.275,-0.108,0.524,0.548,-105.973,0.047,240.644,21.627,0.090
Clearance_Microsome_AZ,B_HEADLINE_PLUS_LOW_CLEARANCE,Cohort A plus the ASAP human liver microsomal rows whose experimental value falls below the source's documented reliable exact bound of 10 uL/min/mg. These rows were excluded before inference in v0.10.2 and are predicted here by the same adapter and package version. HLM only.,402,346,116.197,30.294,243.044,-0.115,0.442,0.513,-100.347,0.042,230.145,21.812,0.095
Lipophilicity_AstraZeneca,A_HEADLINE,"Frozen v0.10.2 headline cohort: semantically compatible rows with a valid exact experimental value, excluding exact structure overlap with the endpoint training source and with any reconstructed regression multitask source.",474,413,0.729,0.617,0.915,0.368,0.698,0.684,0.386,0.545,1.151,0.899,0.781
Lipophilicity_AstraZeneca,ALL_COMPATIBLE_DATA,Frozen v0.10.2 transparency cohort including rows with known training exposure. Reported for completeness and never used as an external-generalisation claim.,478,417,0.727,0.613,0.912,0.376,0.701,0.688,0.383,0.547,1.155,0.901,0.780
Lipophilicity_AstraZeneca,NO_PARENT_FORM_TRAINING_OVERLAP,Frozen v0.10.2 cohort additionally excluding parent and salt-form training overlap.,474,413,0.729,0.617,0.915,0.368,0.698,0.684,0.386,0.545,1.151,0.899,0.781
Lipophilicity_AstraZeneca,STRUCTURALLY_REMOTE_SUBSET,"Frozen v0.10.2 cohort additionally requiring no stereo relation, an unseen Murcko scaffold and maximum Morgan/Tanimoto similarity below 0.60.",470,409,0.731,0.617,0.917,0.357,0.693,0.680,0.390,0.538,1.143,0.887,0.777
Lipophilicity_AstraZeneca,C_STRUCTURE_AGGREGATED,Cohort A collapsed to one record per unique InChIKey. The experimental value is the median of repeated measurements; the prediction is deterministic per structure.,413,413,0.763,0.696,0.944,0.353,0.687,0.679,0.389,0.537,1.173,0.917,0.782
Lipophilicity_AstraZeneca,D_STEREO_UNAMBIGUOUS,"Cohort A restricted to source records whose structure is not an OR/AND enhanced-stereo CXSMILES entry, i.e. excluding racemates and unknown single enantiomers that cannot be represented as the single drawn stereoisomer carried through the modelling path.",274,274,0.793,0.821,0.937,0.335,0.667,0.676,0.372,0.493,1.149,0.849,0.739
PPBR_AZ,A_HEADLINE,"Frozen v0.10.2 headline cohort: semantically compatible rows with a valid exact experimental value, excluding exact structure overlap with the endpoint training source and with any reconstructed regression multitask source.",178,178,10.538,5.220,17.436,0.642,0.826,0.807,5.118,0.599,29.124,21.107,0.725
PPBR_AZ,ALL_COMPATIBLE_DATA,Frozen v0.10.2 transparency cohort including rows with known training exposure. Reported for completeness and never used as an external-generalisation claim.,194,194,10.116,5.095,16.914,0.658,0.837,0.815,4.911,0.605,28.941,20.939,0.723
PPBR_AZ,NO_PARENT_FORM_TRAINING_OVERLAP,Frozen v0.10.2 cohort additionally excluding parent and salt-form training overlap.,178,178,10.538,5.220,17.436,0.642,0.826,0.807,5.118,0.599,29.124,21.107,0.725
PPBR_AZ,STRUCTURALLY_REMOTE_SUBSET,"Frozen v0.10.2 cohort additionally requiring no stereo relation, an unseen Murcko scaffold and maximum Morgan/Tanimoto similarity below 0.60.",168,168,10.333,4.826,16.935,0.661,0.836,0.815,4.988,0.618,29.077,21.485,0.739
PPBR_AZ,C_STRUCTURE_AGGREGATED,Cohort A collapsed to one record per unique InChIKey. The experimental value is the median of repeated measurements; the prediction is deterministic per structure.,178,178,10.538,5.220,17.436,0.642,0.826,0.807,5.118,0.599,29.124,21.107,0.725
PPBR_AZ,D_STEREO_UNAMBIGUOUS,"Cohort A restricted to source records whose structure is not an OR/AND enhanced-stereo CXSMILES entry, i.e. excluding racemates and unknown single enantiomers that cannot be represented as the single drawn stereoisomer carried through the modelling path.",178,178,10.538,5.220,17.436,0.642,0.826,0.807,5.118,0.599,29.124,21.107,0.725
